position,title,link,displayed_link,thumbnail,favicon,snippet,snippet_highlighted_words,about_this_result,cached_page_link,source,rich_snippet,related_pages_link,date,video_link,related_results
1,Buy AirPods Online at Best Prices in India,https://www.flipkart.com/q/airpods,https://www.flipkart.com â€º airpods,https://serpapi.com/searches/64d9e902c56d9318ff9b918b/images/f98115600c4c3d941dc9bee3e3f56212a606da439e026424a53a4c00c690c50c.jpeg,https://serpapi.com/searches/64d9e902c56d9318ff9b918b/images/f98115600c4c3d941dc9bee3e3f56212ecd3b4415739492d224f7b97f7bb5e84.png,Buy AirPods at India's Best Online Shopping Store. Buy Apple wireless AirPods with charging case at Flipkart. âœ“ Best Deals âœ“COD.,"[""AirPods"",""AirPods""]","{""keywords"":[""airpods""],""languages"":[""English""],""regions"":[""India""]}",https://webcache.googleusercontent.com/search?q=cache:5UBn2yyf6pMJ:https://www.flipkart.com/q/airpods&cd=11&hl=en&ct=clnk&gl=in,Flipkart,,,,,
2,Apple AirPods (2nd Generation),https://www.amazon.in/Apple-AirPods-with-Charging-Case/dp/B07Q6153FQ,https://www.amazon.in â€º Apple-AirPods-with-Chargin...,https://serpapi.com/searches/64d9e902c56d9318ff9b918b/images/f98115600c4c3d941dc9bee3e3f56212440e8951ed9815cf490f1bbaf8eafb44.jpeg,https://serpapi.com/searches/64d9e902c56d9318ff9b918b/images/f98115600c4c3d941dc9bee3e3f562126af55934e6ed51b11de9fc8f650238d2.png,"The new AirPods combine intelligent design with breakthrough technology and crystal clear sound. Powered by the new Apple H1 headphone chip, AirPods now ...","[""AirPods"",""AirPods""]","{""keywords"":[""airpods""],""languages"":[""English""],""regions"":[""India""]}",https://webcache.googleusercontent.com/search?q=cache:1tgsxd9QHDwJ:https://www.amazon.in/Apple-AirPods-with-Charging-Case/dp/B07Q6153FQ&cd=12&hl=en&ct=clnk&gl=in,Amazon.in,"{""top"":{""detected_extensions"":{""rating"":4.4,""reviews"":13056,""price"":11999,""currency"":""â‚¹""},""extensions"":[""Rating: 4.4"",""â€Ž13,056 reviews"",""â€Žâ‚¹11,999.00"",""â€ŽIn stock""]},""bottom"":{""extensions"":[""Form Factor: Case"",""Compatible Devices: Headphones"",""Special Feature: Bluetooth, with microphone"",""Colour: White""]}}",,,,
3,Apple AirPods (2nd Generation) Wireless Earbuds with ...,https://www.amazon.com/Apple-AirPods-Charging-Latest-Model/dp/B07PXGQC1Q,https://www.amazon.com â€º Apple-AirPods-Charging-...,https://serpapi.com/searches/64d9e902c56d9318ff9b918b/images/f98115600c4c3d941dc9bee3e3f56212e74656d24c4c55af133d143c831ef79a.jpeg,https://serpapi.com/searches/64d9e902c56d9318ff9b918b/images/f98115600c4c3d941dc9bee3e3f56212c6b098df772d89dc5a769de221e864ca.png,"The new AirPods combine intelligent design with breakthrough technology and crystal clear sound. Powered by the new Apple H1 headphone chip, AirPods now ...","[""AirPods"",""AirPods""]","{""keywords"":[""airpods""],""languages"":[""English""],""regions"":[""India""]}",https://webcache.googleusercontent.com/search?q=cache:vGSFt_6ZuFoJ:https://www.amazon.com/Apple-AirPods-Charging-Latest-Model/dp/B07PXGQC1Q&cd=13&hl=en&ct=clnk&gl=in,Amazon.com,"{""top"":{""detected_extensions"":{""rating"":4.7,""reviews"":583653,""price"":99,""currency"":""$""},""extensions"":[""Rating: 4.7"",""â€Ž583,653 reviews"",""â€Ž$99.00"",""â€ŽIn stock""]},""bottom"":{""detected_extensions"":{""product_dimensions_x_x_inches"":0.65},""extensions"":[""Product Dimensions: â€Ž0.65 x 0.71 x 1.59 inches"",""Country of Origin: â€ŽChina""]}}",,,,
4,Apple AirPods: Buy Apple Earbuds Online at Best Price,https://www.croma.com/apple-truly-wireless-earbuds/bc/b-0025-611,https://www.croma.com â€º ... â€º Truly Wireless Earbuds,,https://serpapi.com/searches/64d9e902c56d9318ff9b918b/images/f98115600c4c3d941dc9bee3e3f5621288aa4168a2994845a9b0145049cd9678.png,"Boasting of a one-tap setup, Apple AirPods are hassle-free and provide you with a three-dimensional listening experience. With its new and improved spatial ...","[""AirPods""]","{""keywords"":[""airpods""],""languages"":[""English""],""regions"":[""India""]}",https://webcache.googleusercontent.com/search?q=cache:p-sfpSbUxecJ:https://www.croma.com/apple-truly-wireless-earbuds/bc/b-0025-611&cd=14&hl=en&ct=clnk&gl=in,Croma,,,,,
5,AirPods,https://en.wikipedia.org/wiki/AirPods,https://en.wikipedia.org â€º wiki â€º AirPods,https://serpapi.com/searches/64d9e902c56d9318ff9b918b/images/f98115600c4c3d941dc9bee3e3f56212ad9d35c297041a69032d7a5061b45935.jpeg,https://serpapi.com/searches/64d9e902c56d9318ff9b918b/images/f98115600c4c3d941dc9bee3e3f562125169f640e463d5ba11167d5d625bbf30.png,"AirPods are wireless Bluetooth earbuds designed by Apple Inc. They were first announced on September 7, 2016, alongside the iPhone 7. Within two years ...","[""AirPods""]","{""keywords"":[""airpods""],""languages"":[""English""],""regions"":[""India""]}",https://webcache.googleusercontent.com/search?q=cache:Ywp6jZLMrksJ:https://en.wikipedia.org/wiki/AirPods&cd=15&hl=en&ct=clnk&gl=in,Wikipedia,"{""bottom"":{""detected_extensions"":{""price"":1,""currency"":""Current firmware st gen (December""},""extensions"":[""Release date: 1st generation December 13, 2..."",""Current firmware: 1st gen: 6.8.8 (December 20...""]}}",https://www.google.com/search?safe=active&sca_esv=556695686&hl=en&gl=in&q=related:https://en.wikipedia.org/wiki/AirPods+Airpods,,,
6,Buy Apple Airpods Pro (2nd Gen) with MagSafe Charging ...,https://www.reliancedigital.in/apple-airpods-pro-2nd-gen-with-magsafe-charging-case-active-noise-cancellation-touch-control-ipx4-sweat-and-water-resistant-bluetooth-v5-3-upto-30-hrs-of-playtime-white/p/493177748,https://www.reliancedigital.in â€º apple-airpods-pro-2nd...,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTNDSgyeQ7VC3HLj5sE5DLT-ldEHnYeFy5dNwInFZj5m5cyhcFsR7Sl&usqp=CAE&s,https://serpapi.com/searches/64d9e902c56d9318ff9b918b/images/f98115600c4c3d941dc9bee3e3f5621279f83095d4be6967dbe6d6c12f96d21c.jpeg,"Apple Airpods Pro (2nd Gen) with MagSafe Charging Case, Active Noise Cancellation, Touch control, IPX4 Sweat and water resistant, Bluetooth v5.3, Upto 30 hrs of ...","[""Airpods""]","{""keywords"":[""airpods""],""languages"":[""English""],""regions"":[""India""]}",https://webcache.googleusercontent.com/search?q=cache:Rrcx-_37hOoJ:https://www.reliancedigital.in/apple-airpods-pro-2nd-gen-with-magsafe-charging-case-active-noise-cancellation-touch-control-ipx4-sweat-and-water-resistant-bluetooth-v5-3-upto-30-hrs-of-playtime-white/p/493177748&cd=16&hl=en&ct=clnk&gl=in,Reliance Digital,"{""top"":{""detected_extensions"":{""rating"":4.8,""votes"":11},""extensions"":[""Rating: 4.8"",""â€Ž11 votes""]}}",,,,
7,"Buy AirPods 2, 3, and Pro at Best Price in India",https://maplestore.in/product-category/airpods/,https://maplestore.in â€º Shop,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ0tTaPBSo_psa5ixvgSoGcMzTg7n50y82OxJ1-R5FngyriTOiDlIfB&usqp=CAE&s,https://serpapi.com/searches/64d9e902c56d9318ff9b918b/images/f98115600c4c3d941dc9bee3e3f5621255ab4790b22507bc15dc60164c996bb9.png,AirPods are a line of wireless earbuds designed by Apple. They are known for their sleek design and easy connectivity with Apple devices.,"[""AirPods""]","{""keywords"":[""airpods""],""languages"":[""English""],""regions"":[""India""]}",https://webcache.googleusercontent.com/search?q=cache:hegD1HxijEYJ:https://maplestore.in/product-category/airpods/&cd=17&hl=en&ct=clnk&gl=in,Maple,,,,,
8,Buy Apple Airpods Pro (2nd Gen) with MagSafe Charging ...,https://www.jiomart.com/p/electronics/apple-airpods-pro-2nd-gen-with-magsafe-charging-case-white/593697204,https://www.jiomart.com â€º All Categories,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQC1e5GGOX-y9uJCO_TkmeX80jtTtNXT6wV-EV8jrOgkqtBebL0jQTO&usqp=CAE&s,https://serpapi.com/searches/64d9e902c56d9318ff9b918b/images/f98115600c4c3d941dc9bee3e3f562122355174d237e30d4f812fdff452091d5.png,"Buy Apple Airpods Pro (2nd Gen) with MagSafe Charging Case, Active Noise Cancellation, Touch control, IPX4 Sweat and water resistant, Bluetooth v5.3, ...","[""Airpods""]","{""keywords"":[""airpods""],""languages"":[""English""],""regions"":[""India""]}",https://webcache.googleusercontent.com/search?q=cache:602y_ibm2YYJ:https://www.jiomart.com/p/electronics/apple-airpods-pro-2nd-gen-with-magsafe-charging-case-white/593697204&cd=18&hl=en&ct=clnk&gl=in,JioMart,,,,,
9,Best Apple AirPods for 2023: Top Picks Across Generations,https://www.cnet.com/tech/mobile/best-apple-airpods/,https://www.cnet.com â€º Tech â€º Mobile,,https://serpapi.com/searches/64d9e902c56d9318ff9b918b/images/f98115600c4c3d941dc9bee3e3f562121e1bcdab3554eb673c6d880c61a8fa77.png,Apple makes excellent AirPods earbuds and headphones for iPhone users. Find out which AirPods are best for you -- and get the best deals on ...,"[""AirPods"",""AirPods""]","{""keywords"":[""airpods""],""languages"":[""English""],""regions"":[""India""]}",,CNET,,,########,,
10,Apple AirPods (2nd gen) with Charging Case Bluetooth ...,https://www.tatacliq.com/apple-airpods-2nd-gen-with-charging-case-bluetooth-headset-with-mic-white-true-wireless/p-mp000000004870365,https://www.tatacliq.com â€º ... â€º Earphones,,https://serpapi.com/searches/64d9e902c56d9318ff9b918b/images/f98115600c4c3d941dc9bee3e3f562127ca10e80c92756b32721aeb3a2ada8bc.png,"The AirPods feature the same design as the original AirPods, but there are a few new internal features including an H1 chip that enables ""Hey Siri"" ...","[""AirPods"",""AirPods""]","{""keywords"":[""airpods""],""languages"":[""English""],""regions"":[""India""]}",https://webcache.googleusercontent.com/search?q=cache:U2DcS3xe0PwJ:https://www.tatacliq.com/apple-airpods-2nd-gen-with-charging-case-bluetooth-headset-with-mic-white-true-wireless/p-mp000000004870365&cd=20&hl=en&ct=clnk&gl=in,Tata CLiQ,"{""top"":{""detected_extensions"":{""rating"":4.6,""price"":10499,""currency"":""â‚¹""},""extensions"":[""Rating: 4.6"",""â€Žâ‚¹10,499.00""]}}",,,,
