,,
RGB CODE,OCR_Not readable,Yes
"(146, 36, 29) (253, 253, 252) (200, 176, 147) (175, 122, 76) (242, 230, 22)",https://serpapi.com/searches/64f05e420f986612e4790c25/images/c40aa74691b613401531db77d05a608481c60483b971afa10321e80f77570286.jpeg,-
"(213, 172, 127) (86, 43, 25) (227, 122, 47) (240, 241, 230) (100, 141, 78)",https://serpapi.com/searches/64f05e420f986612e4790c25/images/c40aa74691b613401531db77d05a6084111aeeb10c29da61bbc618d3011bdf51.jpeg,-
"(45, 152, 131) (246, 251, 248) (200, 173, 127) (27, 110, 73) (136, 198, 182)",https://serpapi.com/searches/64f05e420f986612e4790c25/images/c40aa74691b613401531db77d05a60844dabb329bf2a478777215de1cbdc8efd.jpeg,-
"(208, 214, 184) (40, 71, 38) (173, 174, 124) (105, 128, 75) (253, 253, 252)",https://serpapi.com/searches/64f05e420f986612e4790c25/images/c40aa74691b613401531db77d05a6084efbddfb4fa92012e0c138ed426e9a290.jpeg,-
"(82, 78, 72) (253, 253, 253) (186, 150, 88) (31, 29, 27) (191, 196, 192)",https://serpapi.com/searches/64f05e420f986612e4790c25/images/c40aa74691b613401531db77d05a60849ff00dac6d76aaaf99e088acbaa5d73d.jpeg,-
"(217, 169, 136) (253, 253, 252) (204, 49, 43) (195, 181, 48) (116, 141, 68)",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTdizWxl1a0fK7KLqMjE0yAV5g0tYBuBdYULdECeEfcMVkr2d_DluFI&usqp=CAE&s,-
"(151, 97, 93) (219, 212, 187) (233, 171, 93) (57, 102, 53) (222, 137, 60)",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRnYdha7yaGlGxS_VSE-e2hKtm1czDfnv_qW6z-yodzpnV5NnXXKHHr&usqp=CAE&s,-
"(254, 253, 252) (35, 29, 25) (169, 157, 135) (223, 206, 187) (112, 102, 88)",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQO75_BIJnFcS7e-WgbXTvUekg_Pvv8LdzJMLA3nJkFDYqs-e67Kqpo&usqp=CAE&s,-
"(201, 136, 30) (250, 251, 249) (188, 157, 122) (33, 143, 190) (112, 91, 36)",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTZkUv4rL-hhcLs-fTspes2K8kPRECyTeIACIkcH9sew3pN8hmn69bF&usqp=CAE&s,-
"(249, 231, 215) (41, 35, 32) (192, 159, 122) (237, 210, 183) (135, 107, 79)",https://serpapi.com/searches/64f05e420f986612e4790c25/images/2be273a763b740097027e6996058433338feba3f86b1c2aea8b14bc157c5fbb5.webp,-
"(112, 180, 133) (245, 249, 242) (203, 65, 55) (46, 141, 80) (231, 187, 129)",https://serpapi.com/searches/64f05e420f986612e4790c25/images/2be273a763b740097027e6996058433354ef1f269d28cfcc4d6c6b3dd467ad5f.webp,-
"(201, 195, 188) (59, 96, 59) (243, 244, 244) (188, 153, 108) (173, 54, 55)",https://serpapi.com/searches/64f05e420f986612e4790c25/images/2be273a763b740097027e69960584333eb9b85e7cb6ca39e6ae556668abdcd88.webp,-
"(241, 241, 241) (179, 128, 44) (217, 209, 204) (201, 158, 134) (71, 56, 38)",https://serpapi.com/searches/64f05e420f986612e4790c25/images/2be273a763b740097027e69960584333393e5d8822b4c52aeee9308eaa73f74c.webp,-
"(202, 46, 46) (241, 216, 187) (231, 161, 120) (252, 250, 245) (219, 111, 67)",https://serpapi.com/searches/64f05e420f986612e4790c25/images/2be273a763b740097027e6996058433349aee0d39900e03376f8a2f1fb413def.webp,-
