result_type,id,status,json_endpoint,created_at,processe_at,google_url,raw_html_file,total_time_taken,engine,q,location_requested,location_used,google_domain,device,hl,gl,block_position,position,title,query,price,currency,link,serpapi_link,tracking_link,description,displayed_link,thumbnail,favicon,snippet,snippet_highlighted_words,source
metadata,64f05e420f986612e4790c25,Success,https://serpapi.com/searches/0fe38a9c64a5b7b7/64f05e420f986612e4790c25.json,2023-08-31 09:32:50 UTC,,https://www.google.co.in/search?q=instant+food+online&oq=instant+food+online&uule=w+CAIQICIRTWFoYXJhc2h0cmEsSW5kaWE&hl=en&gl=in&start=0&sourceid=chrome&ie=UTF-8,https://serpapi.com/searches/0fe38a9c64a5b7b7/64f05e420f986612e4790c25.html,2.47,,,,,,,,,,,,,,,,,,,,,,,,
search_parameters,,,,,,,,,google,instant food online,"Maharashtra, India","Maharashtra,India",google.co.in,desktop,en,in,,,,,,,,,,,,,,,,
organic,,,,,,,,,,,,,,,,,,1,Instant Food,,,,https://www.amazon.in/Instant-Food/s?k=Instant+Food,,,,https://www.amazon.in › Instant-Food › k=Instant+Food,https://serpapi.com/searches/64f05e420f986612e4790c25/images/c40aa74691b613401531db77d05a608481c60483b971afa10321e80f77570286.jpeg,https://serpapi.com/searches/64f05e420f986612e4790c25/images/c40aa74691b613401531db77d05a6084a1cbd3ea2d04fdf3d45a58ff0ad2967e.png,Amazon.in: Instant Food. ... FREE Delivery over ₹499. Fulfilled by Amazon. ... As fast as 2 hours delivery on orders above ₹ 499 of Fresh items.,,Amazon.in
organic,,,,,,,,,,,,,,,,,,2,Buy Ready to Eat Meals Online in India,,,,"https://www.flipkart.com/ready-to-eat/pr?sid=eat,xn7,dsl",,,,https://www.flipkart.com › ready-to-eat,https://serpapi.com/searches/64f05e420f986612e4790c25/images/c40aa74691b613401531db77d05a6084111aeeb10c29da61bbc618d3011bdf51.jpeg,https://serpapi.com/searches/64f05e420f986612e4790c25/images/c40aa74691b613401531db77d05a608468ddcc91cad16ad4dfec23aa9dd5b2af.png,Ready To Eat Meals: Buy Ready to Eat Snacks and Meals at India's best online shopping store. ✓Genuine Products ✓Best Offers.,,Flipkart
organic,,,,,,,,,,,,,,,,,,3,Buy Ready to Eat Food Products Online at Best Prices,,,,https://www.bigbasket.com/pc/snacks-branded-foods/ready-to-cook-eat/heat-eat-ready-meals/,,,,https://www.bigbasket.com › ... › Ready to cook & eat,https://serpapi.com/searches/64f05e420f986612e4790c25/images/c40aa74691b613401531db77d05a60844dabb329bf2a478777215de1cbdc8efd.jpeg,https://serpapi.com/searches/64f05e420f986612e4790c25/images/c40aa74691b613401531db77d05a608453f428a940b4646280177619f9cff9c7.png,Just order from our ready to eat food online page at bigbasket and allow us to cater to your food cravings. Right from those chatpata snacks to full spread ...,,BigBasket
organic,,,,,,,,,,,,,,,,,,4,Instant Meals,,,,https://mealofthemoment.com/collections/all-dabbas,,,,https://mealofthemoment.com › collections › all-dabbas,https://serpapi.com/searches/64f05e420f986612e4790c25/images/c40aa74691b613401531db77d05a6084efbddfb4fa92012e0c138ed426e9a290.jpeg,,"Be the first to know about exciting new flavors and offers, please enter your email address below.",,MOM Meal of the Moment
organic,,,,,,,,,,,,,,,,,,5,"Shop Ready Meals, Instant Mixes & Gourmet Foods Online",,,,https://mirchi.com/instant-foods,,,,https://mirchi.com › instant-foods,https://serpapi.com/searches/64f05e420f986612e4790c25/images/c40aa74691b613401531db77d05a60849ff00dac6d76aaaf99e088acbaa5d73d.jpeg,https://serpapi.com/searches/64f05e420f986612e4790c25/images/c40aa74691b613401531db77d05a60848f9a9233da2847eb867bfa932e318357.png,"Discover a wide range of ready meals, instant mixes, and gourmet foods at Mirchi.com. Enjoy delicious and convenient options for quick meals and snacks.",,mirchi.com
organic,,,,,,,,,,,,,,,,,,6,Aashirvaad Instant Meals,,,,https://aashirvaad.com/Instant-meal.aspx,,,,https://aashirvaad.com › Instant-meal,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTdizWxl1a0fK7KLqMjE0yAV5g0tYBuBdYULdECeEfcMVkr2d_DluFI&usqp=CAE&s,https://serpapi.com/searches/64f05e420f986612e4790c25/images/c40aa74691b613401531db77d05a60842f37e6c4752e71faa5b720ba93558ac1.png,"Aashirvaad best healthy instant meals ready in minutes with boiling water and includes Khatta Meetha Poha, Veggie Upma, Suji Halwa with Jaggery, ...",,Aashirvaad
organic,,,,,,,,,,,,,,,,,,7,Instant Food Products,,,,https://www.vishalam.com/collections/instant-food-products,,,,https://www.vishalam.com › collections › instant-food...,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRnYdha7yaGlGxS_VSE-e2hKtm1czDfnv_qW6z-yodzpnV5NnXXKHHr&usqp=CAE&s,https://serpapi.com/searches/64f05e420f986612e4790c25/images/c40aa74691b613401531db77d05a608413a893df97e0f14dd222a4e30eecf9b4.jpeg,India's Largest Traditional Home-made Food Products Global Online Store since 2012. Traditional Bakshanam; Spice Products; Instant ...,,Balali's Vishalam
organic,,,,,,,,,,,,,,,,,,8,Buy Instant Food Online - Instant Meal - InstaFood,,,,https://shopinstafood.com/shop/,,,,https://shopinstafood.com › shop,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQO75_BIJnFcS7e-WgbXTvUekg_Pvv8LdzJMLA3nJkFDYqs-e67Kqpo&usqp=CAE&s,https://serpapi.com/searches/64f05e420f986612e4790c25/images/c40aa74691b613401531db77d05a6084d2adea27b675694db8665912d1076353.png,Shop ready-to-eat food products online. Get your favorite Indian meals ready in a minute. Taste delicious foods at the best price. Order now!,,shopinstafood.com
